X1	X2	X3	X4	X5	X6	TYPE
-2.78	-2.83	2.46	-1.37	-2.29	-1.22	1
-1.86	-2.16	0.38	-0.41	-0.07	-0.13	1
-1.28	-1.30	-0.17	-1.22	-1.48	-0.37	1
-0.62	-0.83	0.05	-0.60	-0.74	-0.82	1
-1.61	-1.70	-1.92	-1.52	-1.63	-1.55	1
-1.50	-1.10	-1.59	-1.37	-1.18	-0.86	1
-0.07	0.17	-0.83	-0.14	-0.22	0.00	1
-0.99	-0.63	-1.70	-1.45	-1.11	-1.02	1
0.26	0.50	-0.83	-0.21	0.00	-0.53	1
0.59	1.10	-1.15	0.06	0.67	0.08	1
-0.80	-0.63	-2.25	-0.68	-1.03	-1.34	1
0.26	0.37	-0.83	-0.52	-0.07	-0.33	1
0.55	0.70	-0.28	-0.48	0.00	-0.49	1
0.40	0.44	-0.06	-0.21	0.08	0.36	1
0.40	0.37	0.27	-0.56	-0.22	-0.17	1
0.00	0.24	-0.50	-0.10	-0.14	-0.17	1
0.84	1.04	0.60	0.56	-0.07	0.40	1
0.48	0.37	-0.83	-0.29	-0.29	0.08	1
-0.55	-0.90	0.60	-0.52	-0.81	-1.14	1
0.26	0.30	0.05	-0.21	-0.44	-0.09	1
-0.14	-0.10	-0.28	-0.48	0.00	-0.37	1
-0.33	-0.03	-0.61	-0.98	-1.26	-1.06	1
-1.72	-2.36	-0.17	-1.68	-1.33	-1.43	1
1.83	1.30	1.48	0.13	0.52	0.48	1
1.06	0.44	1.15	0.09	0.37	0.08	1
0.00	-0.10	-0.28	-0.79	-1.40	-0.78	1
-0.69	-0.63	-1.15	-0.79	-0.81	-1.06	1
1.32	0.84	1.59	-0.02	0.30	0.61	1
0.55	0.30	1.70	0.56	0.82	0.48	1
1.36	0.90	1.37	-0.45	0.74	0.32	1
-0.22	-0.10	0.05	0.90	0.52	0.93	2
0.81	0.70	0.49	1.52	0.74	0.73	2
0.84	1.04	1.04	1.40	0.52	0.69	2
0.99	1.10	1.15	1.63	1.85	-0.53	2
0.95	0.97	0.60	0.94	1.63	1.13	2
0.37	0.77	0.16	1.79	1.04	0.89	2
-0.77	-0.43	-0.39	0.86	1.11	1.17	2
-1.10	-0.83	0.05	0.44	0.37	0.08	2
1.25	1.17	0.49	1.52	1.85	4.14	2
-0.07	0.17	-0.28	0.86	0.52	0.77	2
0.77	0.77	-0.06	1.90	1.26	1.05	2
0.77	0.84	0.49	2.10	1.85	1.01	2
0.18	-0.23	-0.06	-0.21	-0.22	-0.04	3
