WordNum	LogFrequency	SemanticClass
1	2,40654018	opaque
2	2,603144373	opaque
3	1,886490725	opaque
4	0	opaque
5	3,064457989	opaque
6	2,741151599	opaque
7	2,271841607	opaque
8	2,10720997	opaque
9	0	opaque
10	0	opaque
11	2,392696953	opaque
12	2,418301291	opaque
13	0	opaque
14	2,471291711	opaque
15	2,733197265	opaque
16	1,672097858	opaque
17	0,301029996	opaque
18	2,120573931	opaque
19	2,418301291	opaque
20	1,255272505	opaque
21	2,120573931	opaque
22	2,281033367	opaque
23	3,112939976	opaque
24	3,160168293	opaque
25	3,536179532	opaque
26	1,755874856	opaque
27	1,939519253	opaque
28	0	opaque
29	1,812913357	opaque
30	0	opaque
31	0,77815125	opaque
32	1,041392685	opaque
33	1,278753601	opaque
34	1,73239376	opaque
35	0	opaque
36	0	opaque
37	0	opaque
38	0	opaque
39	0,301029996	opaque
40	1,176091259	opaque
41	0	opaque
42	0	opaque
43	1,230448921	opaque
44	1,255272505	opaque
45	1,579783597	opaque
46	3,399154334	opaque
47	3,297322714	opaque
48	2,859138297	opaque
49	3,341632336	opaque
50	3,325515663	opaque
51	1,672097858	opaque
52	1,968482949	opaque
53	3,05804623	opaque
54	3,033825694	opaque
55	2,81756537	opaque
56	2,285557309	opaque
57	3,306639441	opaque
58	1,77815125	opaque
59	2,127104798	opaque
60	2,506505032	opaque
61	3,525433553	opaque
62	2,940516485	opaque
63	3,161667412	opaque
64	2,416640507	opaque
65	2,660865478	opaque
66	1,763427994	opaque
67	2,62838893	opaque
68	2,823474229	opaque
69	2,527629901	opaque
70	0	opaque
71	0	opaque
72	1,86332286	opaque
73	2,472756449	opaque
74	1,361727836	opaque
75	1,591064607	opaque
76	2,301029996	opaque
77	2,471291711	opaque
78	3,199755177	opaque
79	3,406369835	opaque
80	3,636287252	opaque
81	2,686636269	opaque
82	2,709269961	opaque
83	1,662757832	opaque
84	0	opaque
85	0	opaque
86	0,301029996	opaque
87	0,84509804	opaque
88	0,84509804	opaque
89	1,041392685	opaque
90	1	opaque
91	1,113943352	opaque
92	1,301029996	opaque
93	1,602059991	opaque
94	1,653212514	opaque
95	1,672097858	opaque
96	1,672097858	opaque
97	1,959041392	opaque
98	2,40654018	opaque
99	2,42975228	opaque
100	2,440909082	opaque
101	2,462397998	opaque
102	2,478566496	opaque
103	2,544068044	opaque
104	2,591064607	opaque
105	2,818225894	opaque
106	2,999565488	opaque
107	3,011993115	opaque
108	3,022840611	opaque
109	3,074450719	opaque
110	3,10002573	opaque
111	3,241048151	opaque
112	3,27392678	opaque
113	3,417969642	opaque
114	3,486146997	opaque
115	3,542576476	opaque
116	3,645324002	opaque
117	3,921426341	opaque
118	4,337858429	opaque
119	0	opaque
120	1,851258349	opaque
121	3,59117595	opaque
122	0,301029996	opaque
123	0	opaque
124	4,025182934	opaque
125	0	opaque
126	1,322219295	opaque
127	3,115277591	opaque
128	0	opaque
129	1,748188027	opaque
