MODEL	PRICE	ACCELER	BRAKING	HANDLING	MILEAGE
Acura           	-0,521072363	0,477252671	-0,006571039	0,381619066	2,078753555
Audi            	0,865652474	0,208033216	0,31869537	-0,091373579	-0,677061608
BMW             	0,495859184	-0,801539742	0,192202878	-0,091373579	-0,153805564
Buick           	-0,613520685	1,688740221	0,933087475	-0,20962174	-0,153805564
Corvette        	1,235445763	-1,8111127	-0,494470651	0,972859872	-0,677061608
Chrysler        	-0,613520685	0,073423488	0,427117506	-0,20962174	-0,153805564
Dodge           	-0,705969008	-0,195795968	0,481328574	0,145122743	-0,153805564
Eagle           	-0,613520685	1,217606173	-4,198893635	-0,20962174	-0,677061608
Ford            	-0,705969008	-1,541893245	0,987298543	0,145122743	-1,723573695
Honda           	-0,42862404	0,409947807	-0,006571039	0,026874582	0,369450479
Isuzu           	-0,79841733	0,409947807	-0,060782107	-4,230059224	1,067125204
Mazda           	0,126065894	0,679167263	-0,133063531	0,499867227	-1,723573695
Mercedes        	1,050549118	0,006118624	0,119921454	-0,091373579	-0,153805564
Mitsub.         	-0,613520685	-1,003454334	0,083780742	0,381619066	0,718287842
Nissan          	-0,42862404	0,073423488	-0,006571039	0,263370905	0,997357732
Olds            	-0,613520685	-0,734234878	0,40904715	0,381619066	2,113637291
Pontiac         	-0,613520685	0,679167263	0,535539642	0,145122743	0,195031798
Porsche         	3,454205501	-2,214941883	-0,295696735	0,618115388	-1,02589897
Saab            	0,588307506	0,679167263	0,246413946	0,263370905	0,020613117
Toyota          	-0,058830751	1,217606173	0,22834359	0,73636355	-0,851480289
VW              	-0,705969008	-0,128491104	0,101851098	0,381619066	0,195031798
Volvo           	0,218514217	0,611862399	0,13799181	-0,20962174	0,369450479
