A	B	C	D
-0,009017918	-0,035316776	0,031602855	-0,02144039
-0,055909023	0,052060892	0,015836969	0,059733144
-0,074188597	0,090199942	0,042935475	0,059823455
-0,087462698	0,010667879	0,050236333	0,012882095
0,051799431	-0,120384493	0,036904058	-0,015264708
0,935923132	0,209136526	0,167275774	0,308193829
0,882191597	0,257947833	0,219537451	0,313448849
0,931339893	0,224823297	0,220237125	0,2022149
0,962855346	0,247314615	0,233355638	0,128376854
0,949751163	0,252239504	0,272978849	0,181178364
0,187563649	0,912925329	0,154662719	0,230668978
0,168797236	1,027328182	0,224251269	0,192494438
0,250664041	0,864729511	0,23122874	0,263400323
0,266690926	0,933753643	0,17643439	0,231919681
0,240213916	0,872730342	0,22716189	0,215097985
0,256004239	0,248093087	0,942964322	0,135902186
0,232501548	0,268309728	0,916059609	0,169637354
0,323313418	0,234661097	0,95131943	0,144778118
0,16927739	0,162765401	0,95751457	0,250607217
0,237020934	0,250668558	0,942678717	0,232095934
0,20367081	0,222311106	0,304918304	0,935192052
0,15051975	0,208819464	0,160504987	0,888831451
0,211389355	0,19546681	0,292037322	0,802246407
0,278274062	0,18265946	0,238546359	0,881924683
0,191044834	0,233426368	0,222390106	0,977391707
