POP_CHNG	N_EMPLD	PT_POOR	TAX_RATE	PT_PHONE	PT_RURAL	AGE
13,7	400	19	1,09	82	74,8	33,5
-0,8	710	26,2	1,01	66	100	32,8
9,6	1610	18,1	0,4	80	69,7	33,4
40	500	15,4	0,93	74	100	27,8
8,41	640	29	0,92	65	74	27,9
3,5	920	21,6	0,59	64	73,1	33,2
3	1890	21,9	0,63	82	52,3	30,8
7,1	3040	18,9	0,49	85	49,6	32,4
13	2730	21,1	0,71	78	71,2	29,2
10,7	1850	23,8	0,93	74	70,6	28,7
-16,2	2920	40,5	0,51	69	64,2	25,1
6,6	1070	21,6	0,8	85	58,3	35,9
21,9	160	25,4	0,74	69	100	31,4
17,8	380	19,7	0,44	83	72	30,1
-11,8	1140	38	0,81	54	100	34,1
7,5	690	30,1	1,05	65	100	30,5
3,7	1170	24,8	0,73	76	69,5	30
1,6	1280	30,3	0,65	67	81	32,4
8,4	2270	19,5	0,48	85	39,1	28,7
2,7	960	15,6	0,72	84	58,4	33,4
5,6	1710	17,2	0,62	84	42,4	29,9
12,7	1410	18,4	0,84	86	36,4	23,3
-4,8	200	27,3	0,73	66	99,8	27,5
16,5	960	19,2	0,45	74	90,6	29,5
15,2	11500	16,8	1	87	5,9	25,4
11,6	1380	13,2	0,63	85	44,2	28,8
4,9	530	29,7	0,54	70	100	33,1
1,1	370	19,8	0,98	75	52,6	30,8
3,8	440	27,7	0,46	48	100	28,4
19	1630	20,5	0,68	83	72,1	30,4
